,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-12-12T15:30:12.075+00:00, 0.922E-01,   0.09218, 0.18274E+01
       2,2025-12-12T15:30:12.145+00:00, 0.922E-01,   0.18437, 0.18970E+01
       3,2025-12-12T15:30:12.241+00:00, 0.922E-01,   0.27655, 0.19935E+01
       4,2025-12-12T15:30:12.307+00:00, 0.922E-01,   0.36873, 0.20592E+01
       5,2025-12-12T15:30:12.375+00:00, 0.922E-01,   0.46091, 0.21271E+01
       6,2025-12-12T15:30:12.465+00:00, 0.922E-01,   0.55310, 0.22178E+01
       7,2025-12-12T15:30:12.534+00:00, 0.922E-01,   0.64528, 0.22865E+01
       8,2025-12-12T15:30:12.624+00:00, 0.782E-01,   0.72348, 0.23763E+01
       9,2025-12-12T15:30:12.738+00:00, 0.594E-01,   0.78292, 0.24904E+01
      10,2025-12-12T15:30:12.826+00:00, 0.490E-01,   0.83190, 0.25785E+01
      20,2025-12-12T15:30:13.666+00:00, 0.257E-01,   1.15673, 0.34169E+01
      30,2025-12-12T15:30:14.423+00:00, 0.220E-01,   1.38788, 0.41747E+01
      40,2025-12-12T15:30:15.148+00:00, 0.198E-01,   1.59902, 0.48989E+01
      50,2025-12-12T15:30:15.890+00:00, 0.174E-01,   1.79185, 0.56417E+01
      60,2025-12-12T15:30:16.625+00:00, 0.149E-01,   1.95835, 0.63765E+01
      70,2025-12-12T15:30:17.332+00:00, 0.149E-01,   2.10704, 0.70827E+01
      80,2025-12-12T15:30:18.045+00:00, 0.131E-01,   2.24879, 0.77965E+01
      90,2025-12-12T15:30:18.751+00:00, 0.131E-01,   2.38011, 0.85022E+01
     100,2025-12-12T15:30:19.455+00:00, 0.117E-01,   2.50997, 0.92065E+01
     200,2025-12-12T15:30:26.703+00:00, 0.141E-01,   3.84498, 0.16454E+02
     300,2025-12-12T15:30:34.033+00:00, 0.141E-01,   5.25751, 0.23784E+02
     400,2025-12-12T15:30:41.687+00:00, 0.132E-01,   6.75634, 0.31437E+02
     500,2025-12-12T15:30:49.304+00:00, 0.143E-01,   8.14433, 0.39053E+02
     600,2025-12-12T15:30:56.950+00:00, 0.139E-01,   9.59789, 0.46699E+02
     700,2025-12-12T15:31:04.581+00:00, 0.145E-01,  11.04518, 0.54329E+02
     800,2025-12-12T15:31:12.243+00:00, 0.144E-01,  12.48937, 0.61989E+02
     900,2025-12-12T15:31:20.001+00:00, 0.150E-01,  14.00933, 0.69747E+02
    1000,2025-12-12T15:31:27.755+00:00, 0.147E-01,  15.48199, 0.77500E+02
    1100,2025-12-12T15:31:35.391+00:00, 0.159E-01,  17.06067, 0.85136E+02
    1200,2025-12-12T15:31:43.137+00:00, 0.158E-01,  18.61514, 0.92882E+02
    1300,2025-12-12T15:31:50.765+00:00, 0.158E-01,  20.19224, 0.10051E+03
    1400,2025-12-12T15:31:58.428+00:00, 0.109E-01,  21.52904, 0.10817E+03
    1500,2025-12-12T15:32:05.974+00:00, 0.978E-02,  22.52283, 0.11572E+03
    1600,2025-12-12T15:32:13.503+00:00, 0.978E-02,  23.50131, 0.12325E+03
    1700,2025-12-12T15:32:21.036+00:00, 0.881E-02,  24.39065, 0.13078E+03
    1800,2025-12-12T15:32:28.603+00:00, 0.881E-02,  25.27117, 0.13835E+03
    1900,2025-12-12T15:32:36.144+00:00, 0.881E-02,  26.15170, 0.14589E+03
    2000,2025-12-12T15:32:43.773+00:00, 0.881E-02,  27.03222, 0.15351E+03
    2100,2025-12-12T15:32:51.413+00:00, 0.881E-02,  27.91274, 0.16115E+03
    2200,2025-12-12T15:32:58.950+00:00, 0.881E-02,  28.79326, 0.16869E+03
    2300,2025-12-12T15:33:06.560+00:00, 0.881E-02,  29.67378, 0.17630E+03
    2400,2025-12-12T15:33:14.241+00:00, 0.881E-02,  30.55430, 0.18398E+03
    2500,2025-12-12T15:33:21.905+00:00, 0.881E-02,  31.43483, 0.19164E+03
    2600,2025-12-12T15:33:29.455+00:00, 0.881E-02,  32.31535, 0.19919E+03
    2700,2025-12-12T15:33:37.114+00:00, 0.881E-02,  33.19587, 0.20685E+03
    2800,2025-12-12T15:33:44.957+00:00, 0.881E-02,  34.07639, 0.21469E+03
    2900,2025-12-12T15:33:52.563+00:00, 0.881E-02,  34.95691, 0.22229E+03
    3000,2025-12-12T15:34:00.202+00:00, 0.881E-02,  35.83743, 0.22993E+03
    3100,2025-12-12T15:34:08.329+00:00, 0.881E-02,  36.71796, 0.23806E+03
    3200,2025-12-12T15:34:16.533+00:00, 0.881E-02,  37.59848, 0.24626E+03
    3300,2025-12-12T15:34:24.616+00:00, 0.881E-02,  38.47900, 0.25434E+03
    3400,2025-12-12T15:34:32.348+00:00, 0.881E-02,  39.35952, 0.26207E+03
    3500,2025-12-12T15:34:40.493+00:00, 0.881E-02,  40.24004, 0.27022E+03
    3600,2025-12-12T15:34:48.474+00:00, 0.881E-02,  41.12057, 0.27820E+03
    3700,2025-12-12T15:34:56.408+00:00, 0.881E-02,  42.00109, 0.28613E+03
    3800,2025-12-12T15:35:04.236+00:00, 0.881E-02,  42.88161, 0.29396E+03
    3900,2025-12-12T15:35:12.034+00:00, 0.881E-02,  43.76213, 0.30176E+03
    4000,2025-12-12T15:35:19.881+00:00, 0.881E-02,  44.64265, 0.30960E+03
    4100,2025-12-12T15:35:27.848+00:00, 0.881E-02,  45.52317, 0.31757E+03
    4200,2025-12-12T15:35:35.725+00:00, 0.881E-02,  46.40370, 0.32544E+03
    4300,2025-12-12T15:35:43.855+00:00, 0.881E-02,  47.28422, 0.33357E+03
    4400,2025-12-12T15:35:52.266+00:00, 0.881E-02,  48.16474, 0.34198E+03
    4500,2025-12-12T15:36:01.888+00:00, 0.881E-02,  49.04526, 0.35160E+03
    4600,2025-12-12T15:36:12.278+00:00, 0.881E-02,  49.92578, 0.36199E+03
    4700,2025-12-12T15:36:20.004+00:00, 0.881E-02,  50.80630, 0.36971E+03
    4800,2025-12-12T15:36:28.889+00:00, 0.881E-02,  51.68683, 0.37860E+03
    4900,2025-12-12T15:36:37.473+00:00, 0.881E-02,  52.56735, 0.38718E+03
    5000,2025-12-12T15:36:45.556+00:00, 0.881E-02,  53.44787, 0.39526E+03
    5100,2025-12-12T15:36:54.167+00:00, 0.881E-02,  54.32839, 0.40387E+03
    5200,2025-12-12T15:37:02.010+00:00, 0.881E-02,  55.20891, 0.41172E+03
    5300,2025-12-12T15:37:10.286+00:00, 0.881E-02,  56.08944, 0.41999E+03
    5400,2025-12-12T15:37:18.307+00:00, 0.881E-02,  56.96996, 0.42801E+03
    5500,2025-12-12T15:37:26.217+00:00, 0.881E-02,  57.85048, 0.43592E+03
    5600,2025-12-12T15:37:33.976+00:00, 0.881E-02,  58.73100, 0.44368E+03
    5700,2025-12-12T15:37:42.069+00:00, 0.881E-02,  59.61152, 0.45177E+03
