s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-3.7608577E-003,-1.4768540E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7608725E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 1.0293432E+000, 5.3374126E+001,-1.5372348E+001,-1.8529027E-003,-3.9024467E-001,-4.3089709E-003, 1.3876757E+001, 0.0000000E+000, 4.4990472E+001, 5.1482129E+001, 0.0000000E+000, 1.5216883E-003, 0.0000000E+000, 3.6688042E+002
 2.0009723E+000, 1.2770109E+002,-3.2831534E+001,-1.5803740E-002,-9.8748743E-001,-8.2609322E-003, 3.7321048E+001, 0.0000000E+000, 1.3026929E+002, 1.3117905E+002, 0.0000000E+000, 2.8810620E-003, 0.0000000E+000, 1.3727855E+003
 3.0114901E+000, 1.4199804E+002,-3.4679501E+001,-1.8394191E+000,-2.0272386E+000,-9.2651361E-003, 4.2123654E+001, 0.0000000E+000, 1.4542986E+002, 1.4556627E+002, 6.2552590E-003, 3.1618413E-003,-2.0296959E-004, 2.5575233E+003
 4.0084128E+000, 1.4320779E+002,-3.4442995E+001,-3.4110951E+001,-8.1499864E+000,-9.6235066E-003, 4.0547987E+001, 0.0000000E+000, 1.0720773E+002, 1.0704222E+002, 1.2895393E-001, 3.2042922E-003,-1.6136460E-002, 3.6831558E+003
 5.0028944E+000, 1.4426368E+002,-3.4957228E+001,-3.6170674E+001,-9.7184811E+000,-9.7359063E-003, 4.0158776E+001, 0.0000000E+000, 1.0368327E+002, 1.0356634E+002, 1.3454700E-001, 3.2100238E-003,-1.4746188E-002, 4.7950778E+003
 6.0078077E+000, 1.4435557E+002,-3.5144407E+001,-4.2398342E+001,-1.0223147E+001,-9.7541219E-003, 3.9937395E+001, 0.0000000E+000, 9.6500261E+001, 9.6517316E+001, 1.5613002E-001, 3.2108107E-003,-1.5746447E-002, 5.9123969E+003
 7.0107107E+000, 1.4395123E+002,-3.5043994E+001,-4.4980805E+001,-1.0215382E+001,-9.8123256E-003, 3.9858580E+001, 0.0000000E+000, 9.3753301E+001, 9.3559821E+001, 1.6497249E-001, 3.2109207E-003,-1.6115447E-002, 7.0252767E+003
 8.0006819E+000, 1.4415618E+002,-3.5514367E+001,-5.2225133E+001,-9.4989689E+000,-9.8520866E-003, 3.9984832E+001, 0.0000000E+000, 8.7033747E+001, 8.6892696E+001, 1.9220552E-001, 3.2109370E-003,-1.9343059E-002, 8.1271720E+003
 9.0077219E+000, 1.4406842E+002,-3.5996827E+001,-6.6603164E+001,-8.3551259E+000,-9.8651328E-003, 4.0134707E+001, 0.0000000E+000, 7.3378524E+001, 7.3238141E+001, 2.4648601E-001, 3.2109361E-003,-2.6072216E-002, 9.2525324E+003
 1.0000000E+001, 1.4482783E+002,-3.6247081E+001,-6.9446956E+001,-8.1928696E+000,-9.9076866E-003, 4.0365699E+001, 0.0000000E+000, 7.1273353E+001, 7.1296719E+001, 2.5754518E-001, 3.2109411E-003,-2.7675927E-002, 1.0367460E+004
