,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-06-25T16:26:36.953+01:00, 0.922E-01,   0.09218, 0.16764E+01
       2,2025-06-25T16:26:37.022+01:00, 0.922E-01,   0.18437, 0.17445E+01
       3,2025-06-25T16:26:37.108+01:00, 0.922E-01,   0.27655, 0.18314E+01
       4,2025-06-25T16:26:37.182+01:00, 0.922E-01,   0.36873, 0.19050E+01
       5,2025-06-25T16:26:37.257+01:00, 0.922E-01,   0.46091, 0.19798E+01
       6,2025-06-25T16:26:37.352+01:00, 0.922E-01,   0.55310, 0.20748E+01
       7,2025-06-25T16:26:37.424+01:00, 0.922E-01,   0.64528, 0.21465E+01
       8,2025-06-25T16:26:37.519+01:00, 0.781E-01,   0.72335, 0.22415E+01
       9,2025-06-25T16:26:37.633+01:00, 0.612E-01,   0.78451, 0.23557E+01
      10,2025-06-25T16:26:37.717+01:00, 0.523E-01,   0.83680, 0.24396E+01
      20,2025-06-25T16:26:38.563+01:00, 0.242E-01,   1.16683, 0.32856E+01
      30,2025-06-25T16:26:39.345+01:00, 0.217E-01,   1.39099, 0.40682E+01
      40,2025-06-25T16:26:40.122+01:00, 0.189E-01,   1.60479, 0.48448E+01
      50,2025-06-25T16:26:40.873+01:00, 0.189E-01,   1.79345, 0.55961E+01
      60,2025-06-25T16:26:41.636+01:00, 0.189E-01,   1.98211, 0.63585E+01
      70,2025-06-25T16:26:42.425+01:00, 0.166E-01,   2.15481, 0.71481E+01
      80,2025-06-25T16:26:43.254+01:00, 0.149E-01,   2.31209, 0.79760E+01
      90,2025-06-25T16:26:44.071+01:00, 0.149E-01,   2.46076, 0.87937E+01
     100,2025-06-25T16:26:44.877+01:00, 0.149E-01,   2.60944, 0.95993E+01
     200,2025-06-25T16:26:52.862+01:00, 0.133E-01,   3.91527, 0.17584E+02
     300,2025-06-25T16:27:00.936+01:00, 0.142E-01,   5.32892, 0.25657E+02
     400,2025-06-25T16:27:09.225+01:00, 0.171E-01,   6.87416, 0.33942E+02
     500,2025-06-25T16:27:17.160+01:00, 0.171E-01,   8.58101, 0.41873E+02
     589,2025-06-25T16:27:24.487+01:00, 0.152E-01,  10.00000, 0.49200E+02
