droplet_diameter,flow_rate,activation_temperature,time_to_extinguish,water_volume_used
500,100,100,92,53.82729
500,100,90,94,57.55955
500,100,80,96,63.511968
500,100,70,90,58.082173
500,100,60,106,84.04151
500,80,100,102,50.41268
500,80,90,97,49.364697
500,80,80,92,47.762655
500,80,70,99,56.320812
500,80,60,85,45.838363
500,60,100,110,43.599367
500,60,90,111,46.43928
500,60,80,109,45.379151
500,60,70,130,62.53752
500,60,60,108,50.657246
500,40,100,147,43.925654
500,40,90,163,50.821059
500,40,80,181,57.756457
500,40,70,139,43.293709
500,40,60,136,44.159014
500,20,100,181,21.513792
500,20,90,181,21.728718
500,20,80,181,22.301677
500,20,70,181,22.52937
500,20,60,181,23.265086
450,100,100,82,43.494847
450,100,90,88,55.318714
450,100,80,78,46.068338
450,100,70,81,51.930101
450,100,60,84,61.562647
450,80,100,78,31.853765
450,80,90,83,38.589029
450,80,80,88,45.426432
450,80,70,82,43.576579
450,80,60,89,54.670412
450,60,100,94,35.863059
450,60,90,97,39.791486
450,60,80,103,45.460988
450,60,70,99,44.834516
450,60,60,97,46.154429
450,40,100,135,41.112817
450,40,90,119,35.921192
450,40,80,118,35.942911
450,40,70,117,37.387731
450,40,60,127,44.45103
450,20,100,181,24.355383
450,20,90,181,24.462712
450,20,80,181,23.922955
450,20,70,181,25.179343
450,20,60,181,24.457218
400,100,100,71,33.139324
400,100,90,82,49.569529
400,100,80,67,34.447998
400,100,70,76,50.032633
400,100,60,68,43.744831
400,80,100,79,35.819963
400,80,90,87,44.212893
400,80,80,76,36.97441
400,80,70,81,45.097642
400,80,60,83,50.788469
400,60,100,86,31.933191
400,60,90,85,33.043281
400,60,80,86,35.3386
400,60,70,92,42.390324
400,60,60,84,37.175246
400,40,100,109,31.866866
400,40,90,123,40.517832
400,40,80,111,35.467092
400,40,70,107,34.783161
400,40,60,112,39.679203
400,20,100,181,27.095062
400,20,90,181,29.442553
400,20,80,158,26.289332
400,20,70,181,30.977549
400,20,60,180,31.522292
350,100,100,66,26.984932
350,100,90,75,43.909105
350,100,80,66,33.71956
350,100,70,57,25.338123
350,100,60,71,52.491043
350,80,100,85,42.346912
350,80,90,71,30.568452
350,80,80,68,29.715568
350,80,70,82,48.471684
350,80,60,74,45.042221
350,60,100,83,30.785626
350,60,90,75,25.669202
350,60,80,89,39.475132
350,60,70,70,25.926124
350,60,60,87,43.543419
350,40,100,98,27.506333
350,40,90,91,25.443459
350,40,80,93,27.740042
350,40,70,95,30.490586
350,40,60,92,31.326442
350,20,100,135,21.422578
350,20,90,131,20.986781
350,20,80,124,20.383977
350,20,70,147,26.076413
350,20,60,137,24.544112
300,100,100,64,25.535341
300,100,90,60,22.790644
300,100,80,60,26.203015
300,100,70,57,25.986469
300,100,60,51,23.031605
300,80,100,71,29.018162
300,80,90,67,26.752157
300,80,80,70,32.63439
300,80,70,66,31.79569
300,80,60,58,26.572525
300,60,100,76,26.196655
300,60,90,79,30.165599
300,60,80,76,29.699052
300,60,70,73,29.780811
300,60,60,85,43.373137
300,40,100,95,27.192685
300,40,90,95,29.026578
300,40,80,87,25.510976
300,40,70,93,30.196114
300,40,60,93,32.384938
300,20,100,130,20.263607
300,20,90,130,21.413039
300,20,80,119,19.055675
300,20,70,118,19.440803
300,20,60,115,19.814091
